date,open,high,low,close,per_change,volume,traded_amount,symbol
2024-07-31,308.9,315.0,304.0,309.8,2.28,165772.0,51512368.8,UNHPL
2024-08-01,315.9,315.9,295.8,296.0,-4.45,143586.0,43560741.6,UNHPL
2024-08-05,296.0,313.1,290.1,303.0,2.36,137844.0,41528828.3,UNHPL
2024-08-06,302.0,313.1,286.2,287.0,-5.28,174279.0,52151674.7,UNHPL
2024-08-07,285.0,305.0,284.0,304.9,6.24,120091.0,35366013.3,UNHPL
2024-08-08,310.0,310.0,294.0,298.0,-2.26,125011.0,37762736.0,UNHPL
2024-08-11,303.9,321.0,303.9,320.0,7.38,256941.0,80726183.7,UNHPL
2024-08-12,325.0,332.5,322.0,326.0,1.88,182855.0,59808033.4,UNHPL
2024-08-13,332.0,332.0,315.0,318.0,-2.45,148479.0,47474996.1,UNHPL
2024-08-14,316.0,324.3,308.0,322.9,1.54,151909.0,48073596.7,UNHPL
2024-08-15,329.0,346.0,323.0,332.5,2.97,240043.0,81163358.2,UNHPL
2024-08-18,339.1,340.0,315.0,318.0,-4.36,171389.0,55849471.4,UNHPL
2024-08-21,324.3,325.0,313.0,313.5,-1.42,127431.0,40286331.7,UNHPL
2024-08-22,307.3,322.0,307.3,318.0,1.44,116625.0,36947201.0,UNHPL
2024-08-25,314.0,324.1,303.0,305.0,-4.09,106833.0,33059995.5,UNHPL
2024-08-27,300.3,305.0,285.5,287.0,-5.9,123360.0,36365939.4,UNHPL
2024-08-28,292.7,302.0,287.0,292.0,1.74,90844.0,26774126.2,UNHPL
2024-08-29,290.0,295.9,285.0,285.0,-2.4,73031.0,21059416.2,UNHPL
2024-09-01,290.0,295.0,279.3,280.0,-1.75,46635.0,13288478.0,UNHPL
2024-09-02,285.6,301.7,281.0,300.0,7.14,90545.0,26433146.3,UNHPL
2024-09-03,305.0,314.0,297.0,297.0,-1.0,61573.0,18704350.6,UNHPL
2024-09-04,301.0,302.8,280.0,284.0,-4.38,70414.0,20156714.7,UNHPL
2024-09-05,284.0,288.0,275.0,282.5,-0.53,63258.0,17775293.7,UNHPL
2024-09-08,283.1,288.0,277.0,278.0,-1.59,55113.0,15519541.8,UNHPL
2024-09-09,276.2,280.0,265.0,270.0,-2.88,59394.0,16013505.5,UNHPL
2024-09-10,270.0,275.0,264.0,264.0,-2.22,46813.0,12580634.9,UNHPL
